,LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837972,0.84759,0.836665,0.832023,0.835546,0.830643,0.8278,0.819609,0.820951,0.816961,0.818857,0.794815,0.789521,0.775888,0.755023,0.756823,0.745416,0.738733,0.721414,0.716496,0.718859,0.694352,0.686689,0.678201,0.680299,0.668221,0.667415
23,FIN,0.381996,0.398527,0.405087,0.419786,0.441983,0.451572,0.456959,0.476907,0.509659,0.504703,0.515126,0.526377,0.546163,0.589099,0.659752,0.685749,0.735285,0.757475,0.76045,0.760509,0.764711,0.779883,0.800989,0.83393,0.872844,0.890224,0.914102,0.930259,0.967601,0.991901,1.005784,0.987591,0.974159,0.968407,0.965657,0.985559,0.991931,0.989171,0.991525,0.992037,0.984123,1.002939,0.998133,1.002002,0.973211,0.979424,0.952864,0.934816,0.912125,0.896502,0.900476,0.898068,0.908495,0.905357,0.90721,0.907748,0.880895,0.863657,0.853746,0.863225,0.844975,0.829754
24,FRA,0.555651,0.568996,0.58225,0.610652,0.624771,0.624415,0.620819,0.622692,0.619051,0.62729,0.655507,0.660693,0.676413,0.691674,0.709656,0.738823,0.775559,0.794265,0.810926,0.826005,0.84611,0.863346,0.911453,0.961742,0.993858,1.015932,1.04622,1.046047,1.042672,1.0363,1.02545,1.017171,1.014069,1.006671,0.99474,0.985268,0.981476,0.969213,0.961575,0.952721,0.930369,0.911948,0.900678,0.929893,0.935127,0.916458,0.894688,0.888771,0.881874,0.862966,0.854632,0.841361,0.844301,0.811643,0.807565,0.808694,0.780044,0.770109,0.756166,0.738663,0.727312,0.725323
25,GBR,0.228426,0.233865,0.237129,0.238316,0.24361,0.248356,0.250347,0.250387,0.248822,0.249482,0.269255,0.276729,0.28433,0.292242,0.308491,0.355099,0.387445,0.414793,0.431937,0.45495,0.499474,0.509089,0.515037,0.521014,0.528167,0.540194,0.552487,0.568488,0.582797,0.605316,0.629489,0.647983,0.654585,0.656904,0.652133,0.71328,0.713057,0.708672,0.720713,0.725819,0.704612,0.694682,0.689877,0.695878,0.687839,0.707619,0.696487,0.709239,0.701691,0.710074,0.702243,0.706052,0.701634,0.695248,0.698444,0.692551,0.688603,0.684601,0.687714,0.688058,0.688988,0.692802
26,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,1.2e-05,0.001793,0.107807,0.277419,0.389667,0.408101,0.431553,0.466949,0.477975,0.492574,0.513724,0.521033,0.550197,0.575807,0.605766,0.645648,0.694286,0.675129,0.761769,0.811295,0.743101,0.724774,0.722902,0.753517,0.747673,0.804572,0.820068,0.84749,0.898371,0.955514
27,GRC,0.055736,0.043422,0.04444,0.044285,0.044987,0.045549,0.046179,0.045865,0.044384,0.043543,0.042022,0.041184,0.04147,0.047537,0.053547,0.055437,0.061181,0.065525,0.06966,0.077285,0.084519,0.093901,0.112503,0.130578,0.153655,0.177283,0.206597,0.232363,0.261883,0.288541,0.335677,0.388946,0.436557,0.48798,0.531202,0.571238,0.601555,0.627172,0.647916,0.67328,0.669773,0.66865,0.662967,0.685082,0.694514,0.708976,0.692455,0.718317,0.707951,0.704432,0.721977,0.713163,0.684663,0.631286,0.611135,0.60907,0.58858,0.575041,0.564857,0.563038,0.552809,0.547807
28,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.756114,6.076747,6.529512,6.92769,7.211611,7.355891,7.648636,7.952082,7.959501,7.527416,7.11082,6.830776,6.49715,5.988626,5.62265,5.443514,5.252335,5.274579,5.241643,5.188709,5.140969,5.232639,5.454228,5.547579,5.70645,5.831053,5.932289,6.011433,6.086029,6.101328,6.063317,5.851252
29,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.184823,3.252187,3.423875,3.654137,3.746338,3.786983,3.873841,3.879356,3.984034,4.008066,4.093482,3.914096,3.865543,3.87238,3.842562,3.873511,3.752616,3.664153,3.575104,3.543476,3.512389,3.382,3.324652,3.311037,3.319914,3.247823,3.273844
30,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.090922,35.748556,42.351423,49.548103,61.504015,73.877422,87.382309,97.822387,104.545883,110.086598,114.440223,118.141282,122.012198,128.382006,130.929945,131.490535,134.066824,131.005355,127.690292,126.410628,124.271836,125.623608,124.979432,129.414974,132.55351,132.033797,136.036522,139.092451,145.140842,148.803704,154.840118
31,IDN,,,,,,,,,,,,,,,,,,,,,272.368,260.402,257.744,296.536,309.313,315.658,309.437,349.247,363.18,390.346,349.76306,368.451897,386.499841,449.861286,474.708048,510.905725,545.251137,603.391635,1045.800738,1177.307625,1386.6225,1549.930902,1616.127771,1671.816675,1767.32689,1959.17998,2168.274083,2348.910981,2723.007031,2929.552019,3336.628125,3512.753906,3569.892578,3765.671875,4030.774658,4353.327148,4518.104004,4695.658691,4761.208348,4752.310403,4675.215536,4758.700957
32,IND,,,,,,,,,,,2.847075,2.849501,3.025621,3.382865,3.599771,3.217223,3.22959,3.224656,3.081847,3.265358,3.347865,3.379142,3.429847,3.596462,3.732936,3.85735,4.421835,4.717656,4.932062,5.146414,5.495992,6.047286,6.442613,6.914083,7.445126,7.953088,8.401703,8.794171,9.392878,9.546556,9.675326,9.766415,9.973858,10.159126,10.459989,10.712126,11.264471,11.729724,12.567122,13.366222,14.597721,15.549549,16.160835,17.342325,18.386549,19.235003,19.898727,20.647793,20.949321,21.073227,21.988508,23.138138
